time,CH_PV,CH_temp,P_PV,P_temp
2015-01-01 00:00:00,0.0,-7.488,0.0,1.667
2015-01-01 01:00:00,0.0,-7.637,0.0,1.574
2015-01-01 02:00:00,0.0,-7.813,0.0,1.47
2015-01-01 03:00:00,0.0,-7.984,0.0,1.294
2015-01-01 04:00:00,0.0,-8.147,0.0,1.139
2015-01-01 05:00:00,0.0,-8.221,0.0,0.949
2015-01-01 06:00:00,0.0,-8.256,0.0,0.577
2015-01-01 07:00:00,0.524,-8.197,0.0,0.361
2015-01-01 08:00:00,3.87,-7.428,0.006,0.313
2015-01-01 09:00:00,6.419,-6.125,0.323,0.611
2015-01-01 10:00:00,7.779,-4.617,0.897,0.838
2015-01-01 11:00:00,8.313,-3.123,1.896,1.138
2015-01-01 12:00:00,8.018,-1.863,3.07,1.819
2015-01-01 13:00:00,6.882,-0.976,3.919,2.202
2015-01-01 14:00:00,4.79,-0.522,1.954,1.912
2015-01-01 15:00:00,1.563,-0.578,0.183,1.316
2015-01-01 16:00:00,0.0,-1.068,0.0,0.6
2015-01-01 17:00:00,0.0,-1.3,0.0,0.639
2015-01-01 18:00:00,0.0,-1.558,0.0,0.689
2015-01-01 19:00:00,0.0,-1.825,0.0,0.766
2015-01-01 20:00:00,0.0,-2.051,0.0,0.752
2015-01-01 21:00:00,0.0,-2.322,0.0,0.71
2015-01-01 22:00:00,0.0,-2.731,0.0,0.672
2015-01-01 23:00:00,0.0,-3.165,0.0,0.562
2015-01-02 00:00:00,0.0,-3.6,0.0,0.411
2015-01-02 01:00:00,0.0,-3.931,0.0,0.336
2015-01-02 02:00:00,0.0,-4.008,0.0,0.417
2015-01-02 03:00:00,0.0,-4.006,0.0,0.844
2015-01-02 04:00:00,0.0,-4.075,0.0,1.437
2015-01-02 05:00:00,0.0,-4.116,0.0,1.518
2015-01-02 06:00:00,0.0,-4.229,0.0,1.542
2015-01-02 07:00:00,0.343,-4.213,0.0,1.586
2015-01-02 08:00:00,3.154,-3.435,0.0,1.743
2015-01-02 09:00:00,5.984,-2.268,0.097,2.138
2015-01-02 10:00:00,7.389,-0.614,0.102,2.713
2015-01-02 11:00:00,7.457,0.567,0.495,3.696
2015-01-02 12:00:00,5.611,1.031,1.028,4.384
2015-01-02 13:00:00,5.158,1.313,1.14,4.887
2015-01-02 14:00:00,3.797,1.398,0.758,5.002
2015-01-02 15:00:00,1.466,0.812,0.14,4.436
2015-01-02 16:00:00,0.007,0.011,0.0,3.693
2015-01-02 17:00:00,0.0,-0.02,0.0,3.193
2015-01-02 18:00:00,0.0,0.147,0.0,2.925
2015-01-02 19:00:00,0.0,0.206,0.0,2.769
2015-01-02 20:00:00,0.0,0.278,0.0,2.755
2015-01-02 21:00:00,0.0,0.254,0.0,2.724
2015-01-02 22:00:00,0.0,0.265,0.0,2.637
2015-01-02 23:00:00,0.0,0.19,0.0,2.495
2015-01-03 00:00:00,0.0,0.052,0.0,2.544
2015-01-03 01:00:00,0.0,-0.086,0.0,2.626
2015-01-03 02:00:00,0.0,0.017,0.0,2.591
2015-01-03 03:00:00,0.0,-0.026,0.0,2.388
2015-01-03 04:00:00,0.0,-0.053,0.0,2.127
2015-01-03 05:00:00,0.0,0.027,0.0,1.572
2015-01-03 06:00:00,0.0,0.227,0.0,0.827
2015-01-03 07:00:00,0.0,0.42,0.0,0.381
2015-01-03 08:00:00,0.126,0.752,0.023,0.461
2015-01-03 09:00:00,0.234,0.919,0.363,0.932
2015-01-03 10:00:00,0.377,1.037,0.636,1.504
2015-01-03 11:00:00,0.408,1.107,0.67,1.924
2015-01-03 12:00:00,0.439,1.114,0.657,2.128
2015-01-03 13:00:00,0.522,1.119,0.647,2.214
2015-01-03 14:00:00,0.197,0.988,0.42,2.083
2015-01-03 15:00:00,0.201,1.16,0.042,1.642
2015-01-03 16:00:00,0.0,0.888,0.0,1.223
2015-01-03 17:00:00,0.0,0.777,0.0,1.003
2015-01-03 18:00:00,0.0,0.755,0.0,0.958
2015-01-03 19:00:00,0.0,0.572,0.0,1.133
2015-01-03 20:00:00,0.0,0.585,0.0,1.251
2015-01-03 21:00:00,0.0,0.69,0.0,1.347
2015-01-03 22:00:00,0.0,0.687,0.0,1.439
2015-01-03 23:00:00,0.0,0.763,0.0,1.478
2015-01-04 00:00:00,0.0,0.708,0.0,1.182
2015-01-04 01:00:00,0.0,0.545,0.0,0.987
2015-01-04 02:00:00,0.0,0.428,0.0,0.96
2015-01-04 03:00:00,0.0,0.327,0.0,1.266
2015-01-04 04:00:00,0.0,0.073,0.0,1.352
2015-01-04 05:00:00,0.0,0.013,0.0,1.489
2015-01-04 06:00:00,0.0,-0.146,0.0,1.59
2015-01-04 07:00:00,0.088,-0.271,0.0,1.322
2015-01-04 08:00:00,0.583,-0.057,0.039,1.17
2015-01-04 09:00:00,0.829,-0.584,0.35,1.49
2015-01-04 10:00:00,1.247,-1.753,0.43,1.866
2015-01-04 11:00:00,1.143,-2.829,0.503,2.216
2015-01-04 12:00:00,0.518,-3.842,1.053,2.765
